Mask;Score;Gen
?u?u?u?u?s;-0.16666666666666666;8
?l?l?u?u?l;-4.833333333333333;8
?l?u?s?u?l;-0.2;8
?u?u?u?u?l?d?l?s;-0.0;8
?u?u?u?u;-136.33333333333334;8
?u?u?u?l?l;-7.2;9
?l?u?u?l?l;-4.833333333333333;9
?l?l?u?u?l?l?l?s;-0.0;9
?l?l?u?u?l;-4.833333333333333;9
?u?u?u?d?l;-1.8;9
?l?l?u?u;-2.0;9
?u?u?u?l?l;-7.2;9
?l?u?d?u?l;-1.6;9
?u?d?u?u?l?u?l?s;-0.0;9
?l?u?u?l?u;-3.5;9
?l?l?s?u?l;-0.0;9
?l?l?u?u?l;-4.833333333333333;9
?u?u?u?u?l;-4.8;9
?l?l?u?u?u;-5.166666666666667;9
?l?l?u?u?u;-5.166666666666667;9
?u?u?u?u?s;-0.16666666666666666;9
?l?l?u?u?l;-4.833333333333333;9
?u?u?u?u?l?u?l?s;-0.0;9
?u?u?u?u?l;-4.8;9
?l?u?u?l?l;-4.833333333333333;9
?l?l?u?u?l;-4.833333333333333;9
?u?u?u?l?l;-7.2;9
?u?u?u?l?l;-7.2;9
?l;-0.0;9
?l?l?u?u?l;-4.833333333333333;9
?l?u?u?l?l;-4.833333333333333;9
?u?u?u?u?l;-4.8;9
?l?u?u?l?l;-4.833333333333333;9
?l?l?u?u?l;-4.833333333333333;9
?l?l?u?u?l;-4.833333333333333;9
?u?u?u?u?l;-4.8;9
?u?l?u?u?l;-3.5;9
?l?l?u?u?l;-4.833333333333333;9
?u?u?l?u?l?l?l?s;-0.0;9
?l?u?u?l?l;-4.833333333333333;9
?l?u?u?l?l?s?l?s;-0.0;9
?l?l?u?u?u;-5.166666666666667;9
?s?u?s?l?l;-0.0;9
?l?l?u?u?u;-5.166666666666667;9
?u?u?u?l?l?u?d?s;-0.0;9
?u?u?u?l?l;-7.2;9
?l?u?l?l?d;-3.2;9
?l?l?u?u?l;-4.833333333333333;9
?l?u?u?l?l;-4.833333333333333;9
?l?u?u?d?d;-1.3333333333333333;9
?l?l?u?d?l?s?l?s;-0.0;9
?l?l?s?u?l;-0.0;9
?u?u?u?u?l;-4.8;9
?l?l?u?u?l?s?l?s;-0.0;9
?u?u?u?u?l;-4.8;9
?l?u?u?l?l;-4.833333333333333;10
?l?l?u?u?l;-4.833333333333333;10
?l?l?u?u?l?l?l?s;-0.0;10
?l?l?u?u?l;-4.833333333333333;10
?l?u?u?l?l;-4.833333333333333;10
?l?u?u?l?l;-4.833333333333333;10
?l?l?u?s?l;-0.0;10
?l?u?u?u?l;-4.0;10
?l?u?u?l?d;-5.0;10
?u?u?u?l?l;-7.2;10
?l?u?u?l?l;-4.833333333333333;10
?l?u?u?l;-0.4;10
?d?l;-0.0;10
?l?l?u?u?u;-5.166666666666667;10
?u?l?u?u?l;-3.5;10
?l?u;-0.0;10
?l?u?u?l?l;-4.833333333333333;10
?u?u?u?l?l;-7.2;10
?l?l?u?u?u;-5.166666666666667;10
?l?d?s?u?l;-0.0;10
?l?l?u?u?l;-4.833333333333333;10
?s?l?u?s?l;-0.0;10
?l?u?u?l?l;-4.833333333333333;10
?l?l?u?u?u;-5.166666666666667;10
?u?u?u?u?l;-4.8;10
?l?l?u?u;-2.0;10
?l?l?u?u?l;-4.833333333333333;10
?l?l?u?u;-2.0;10
?u?u?s?u;-0.0;10
?l?l?u?u?l;-4.833333333333333;10
?u?d?u?d;-0.3333333333333333;10
?l?l?u?u?u?d?l?s;-0.0;10
;-0.0;10
?l?l?u?u?u;-5.166666666666667;10
?u;-0.0;10
?l?l?u?u?l;-4.833333333333333;10
?l?u?u?l?l?s?l?s;-0.0;10
?l;-0.0;10
?l?l?u?u?l;-4.833333333333333;10
?l?s?s?u?l;-0.0;10
?l?u?u?l?d;-5.0;10
?l?l?u?u?u;-5.166666666666667;10
?l?u?u?u?l;-4.0;10
?l?l?u?l?l;-4.4;10
?l?l?u?u?u;-5.166666666666667;10
?l?l?u?u?l;-4.833333333333333;10
;-0.0;10
?l?u?u?l?l;-4.833333333333333;10
?l?l?u?u?u;-5.166666666666667;10
?l?u?u?l?l;-4.833333333333333;10
?l?l?u?u?u;-5.166666666666667;11
?l?l?u?u?u;-5.166666666666667;11
?l?l?l?u?u;-4.833333333333333;11
?l?l?u;-0.0;11
?l?u?u?l?l;-4.833333333333333;11
?u?u?u?l?s;-0.0;11
?l?l?u?u?l;-4.833333333333333;11
?u?u?u?l?u;-4.428571428571429;11
?l?l?u?s?d;-0.0;11
?u?u?u?d?u;-3.0;11
?l?u?u?l?l;-4.833333333333333;11
?u?l?d?u?u;-4.2;11
?s?u?u?l?l;-0.0;11
?u?u?u?d?d?u?l?s;-0.0;11
?u?u?u?s?u;-0.0;11
?l?l?u?l?l;-4.4;11
?u?u?u?l?l;-7.2;11
?u?u?u?l?l;-7.2;11
?l?l?u?l?u;-5.2;11
?l?l?u?u?l?u?l?s;-0.0;11
?l?u?u?l?l;-4.833333333333333;11
?l?u?u?l?l;-4.833333333333333;11
?u?u?u?s?d;-0.16666666666666666;11
?l?l?u?u?u;-5.166666666666667;11
?u?u?u?l?l;-7.2;11
?u;-0.0;11
?l?u?u?l?d;-5.0;11
?u?u?u?l?l?s?l?s;-0.0;11
?l?l?u;-0.0;11
?u?d?u?l?l;-3.3333333333333335;11
?l?u?l?l?l;-9.2;11
?u?u?u?l?l;-7.2;11
;-0.0;11
?u?u?u?l?l;-7.2;11
?l?l?u?l?d;-1.6666666666666667;11
?u?u?u?u?u;-205.16666666666666;11
?l?u?u?d?l?s?l?s;-0.0;11
?u?u?u?l?d;-2.3333333333333335;11
?d?l?u?u?l;-2.4;11
?l?u?u?l?l;-4.833333333333333;11
?l?l?u?d?u;-2.6;11
?u?u?u?l?l;-7.2;11
?u?u?u?u?l;-4.8;11
?l?l?u?l?l;-4.4;11
?l?l?u?u?u;-5.166666666666667;11
?l?u?u?l?d;-5.0;11
?l?u?u?l?l;-4.833333333333333;11
?u?u?u?l?d;-2.3333333333333335;11
?u?u?u?u?u;-205.16666666666666;11
?l?l?u?u;-2.0;11
;-0.0;12
?l?l?u?u?u;-5.166666666666667;12
?u?u?u?l?l;-7.2;12
?u?u?u?l?l;-7.2;12
?l?l?u?l?u;-5.2;12
?l?u?u?l?d;-5.0;12
?u?u?u?u;-136.33333333333334;12
?u?l?u?l?l;-6.5;12
?u?u?u?d?u;-3.0;12
?u?l?u?l?u;-7.2;12
?u?u?u?l?l;-7.2;12
?u?u?u?u?u;-205.16666666666666;12
?l?l?u?u?u;-5.166666666666667;12
?l?l?u?u?u;-5.166666666666667;12
?u?u?u?l?d;-2.3333333333333335;12
?l?u?u?d;-0.16666666666666666;12
?u?u?u?u?u;-205.16666666666666;12
?u?u?u?d?d;-10.4;12
?u?u?u?l?l;-7.2;12
?u?u?u?l?s;-0.0;12
?u?u?u?l?u;-4.428571428571429;12
?l?l?u?d?l;-1.6666666666666667;12
?u?u?u?l?l;-7.2;12
?u?u?u?l?l;-7.2;12
?l?l?u?u?l;-4.833333333333333;12
?l?l?u?u?u;-5.166666666666667;12
?l?l?u?l?l;-4.4;12
?u?u?u?u?u;-205.16666666666666;12
?u?u?u?l?l;-7.2;12
?u?u?u?l?l;-7.2;12
?u?u?u?l?l;-7.2;12
?u?u?u?u?l;-4.8;12
?u?l?u?u?u;-5.333333333333333;12
?l?u?u?u?u;-4.2;12
?u?u?u?l?l;-7.2;12
?l?u?l?l?l;-9.2;12
?u?u?u?l?l;-7.2;12
?u?u?u?l?l;-7.2;12
?u?u?u?l?l;-7.2;12
?u?u?l?l?l;-9.6;12
?l?l?u?s?u;-0.0;12
?u?u?u?l?l;-7.2;12
?l?l?u?u?d;-3.2;12
?u?s?u?l?l;-0.0;12
?l?l?u?u?u;-5.166666666666667;12
?u?u?u?l?l;-7.2;12
?u?u?u?u?u;-205.16666666666666;12
?u?u?u?d?d;-10.4;12
?u?u;-0.0;12
